gene,rna_lfc,rna_p,prot_lfc,prot_p,mut_freq,neglog10p,concordant,transcriptomic,proteomic,genomic,score
SETD2,-0.3817003562757897,6.431057434046873e-06,-0.09203746263849766,0.092383334441322,0.007142857142857143,0.11979865834643606,True,0.3817003562757897,0.09203746263849766,0.11979865834643606,0.41791732490784617
BID,0.6018735645225721,3.6963632372711364e-07,0.03430072691752173,0.5778737155582736,0.007142857142857143,0.11979865834643606,True,0.6018735645225721,0.03430072691752173,0.11979865834643606,0.41791732490784617
EVA1B,0.33409667165843615,0.09867969138176343,-0.1199382834738465,0.35537120405349765,0.007142857142857143,0.11979865834643606,False,0.33409667165843615,0.1199382834738465,0.11979865834643606,0.41778567667193256
TSHZ2,-0.122488241051661,0.4244565946440928,0.34310264692874526,0.04514113215369538,0.007142857142857143,0.11979865834643606,False,0.122488241051661,0.34310264692874526,0.11979865834643606,0.41765402843601895
RTN3,-0.1488992504879576,0.05850320470597514,0.30076260538156774,0.0003355366846372621,0.007142857142857143,0.11979865834643606,False,0.1488992504879576,0.30076260538156774,0.11979865834643606,0.41765402843601895
CC2D1A,-0.3608217159742466,0.005911603191544439,-0.10259131413481626,0.035749069774370534,0.007142857142857143,0.11979865834643606,True,0.3608217159742466,0.10259131413481626,0.11979865834643606,0.41739073196419163
TTC28,-0.8051387173494113,9.22283144347553e-11,0.009493109678469835,0.8665184253737278,0.007142857142857143,0.11979865834643606,False,0.8051387173494113,0.009493109678469835,0.11979865834643606,0.417259083728278
POLG,0.1118106069760465,0.007021068757960665,-0.3609819648857133,4.338720181998502e-08,0.007142857142857143,0.11979865834643606,False,0.1118106069760465,0.3609819648857133,0.11979865834643606,0.4171274354923644
ATP6V0A2,-0.06398734504939618,0.2377670539792938,-0.10518180828417201,0.22079527313382633,0.014285714285714285,0.3827710261184941,True,0.06398734504939618,0.10518180828417201,0.3827710261184941,0.41699578725645076
ADGRL2,-0.3768536089888723,4.284723594362785e-05,-0.09262995283413389,0.2671042636697326,0.007142857142857143,0.11979865834643606,True,0.3768536089888723,0.09262995283413389,0.11979865834643606,0.4169957872564507
TRAPPC9,-0.2249087363376212,0.005228441849104973,0.2015050439964483,1.5571927667848542e-07,0.007142857142857143,0.11979865834643606,False,0.2249087363376212,0.2015050439964483,0.11979865834643606,0.4167324907846235
CSDE1,-0.16368490344169473,0.028692606122209016,-0.27321458751481487,2.215288481365263e-11,0.007142857142857143,0.11979865834643606,True,0.16368490344169473,0.27321458751481487,0.11979865834643606,0.41660084254870977
KAT8,-0.19690427028434598,4.350548293265979e-06,-0.2310091754432797,2.1677174338977648e-05,0.007142857142857143,0.11979865834643606,True,0.19690427028434598,0.2310091754432797,0.11979865834643606,0.41607424960505524
TECPR1,-0.10116168016132399,0.061588927566030294,-0.06778228355549487,0.07737916668589276,0.014285714285714285,0.3827710261184941,True,0.10116168016132399,0.06778228355549487,0.3827710261184941,0.41594260136914163
LRP1,-0.06652151241837423,0.6715267731747797,0.4630110254373072,4.703791917464386e-14,0.007142857142857143,0.11979865834643606,False,0.06652151241837423,0.4630110254373072,0.11979865834643606,0.41594260136914163
SLC23A2,-0.49798361665603963,8.019890447673851e-11,-0.0514125113244841,0.890681159066211,0.007142857142857143,0.11979865834643606,True,0.49798361665603963,0.0514125113244841,0.11979865834643606,0.4154160084254871
CD22,0.09183912883367196,0.7834260379009003,-0.4024897123111195,0.2913720769038477,0.007142857142857143,0.11979865834643606,False,0.09183912883367196,0.4024897123111195,0.11979865834643606,0.4154160084254871
SEC23IP,0.21385966952803592,7.133470330740798e-05,-0.20979538462369618,1.0340080762765888e-07,0.007142857142857143,0.11979865834643606,False,0.21385966952803592,0.20979538462369618,0.11979865834643606,0.41502106371774616
ITGAX,-0.02380713814670976,0.9052152151435093,0.5904147032551315,3.232029530896501e-10,0.007142857142857143,0.11979865834643606,False,0.02380713814670976,0.5904147032551315,0.11979865834643606,0.41502106371774616
SIGLEC10,0.24525762841338583,0.19258704579441402,0.17011840075537066,0.3658315265126719,0.007142857142857143,0.11979865834643606,True,0.24525762841338583,0.17011840075537066,0.11979865834643606,0.4143628225381779
INTU,0.06307701047307646,0.32316939998160354,0.46511859050521487,0.3405642668871466,0.007142857142857143,0.11979865834643606,True,0.06307701047307646,0.46511859050521487,0.11979865834643606,0.4142311743022643
SEMA3B,-0.16717104588952658,0.32118122219056755,-0.2656746593460788,0.0022706137662789304,0.007142857142857143,0.11979865834643606,True,0.16717104588952658,0.2656746593460788,0.11979865834643606,0.4140995260663507
SUPT3H,-0.1356685558825994,0.10717925092542653,-0.3115782810804113,0.009586333756767205,0.007142857142857143,0.11979865834643606,True,0.1356685558825994,0.3115782810804113,0.11979865834643606,0.41370458135860977
TBC1D25,-0.15399935898691552,0.005293429002712879,-0.014945130767834769,0.8895753575103779,0.014285714285714285,0.3827710261184941,True,0.15399935898691552,0.014945130767834769,0.3827710261184941,0.41370458135860977
TNFAIP2,-0.04127658266647671,0.8017204623315888,0.5239803024301004,2.7554025061414167e-13,0.007142857142857143,0.11979865834643606,False,0.04127658266647671,0.5239803024301004,0.11979865834643606,0.41344128488678245
PTPRM,-0.2559727499793496,0.0006788961077382415,-0.15734463555082812,0.02068801230789399,0.007142857142857143,0.11979865834643606,True,0.2559727499793496,0.15734463555082812,0.11979865834643606,0.41344128488678245
CSE1L,0.22699566408307348,0.00011034742570186753,0.19000678178776553,6.862632646814752e-06,0.007142857142857143,0.11979865834643606,True,0.22699566408307348,0.19000678178776553,0.11979865834643606,0.41330963665086884
SUPV3L1,0.04663682671942482,0.18712608372287798,-0.5060970699549721,3.264930982362933e-14,0.007142857142857143,0.11979865834643606,False,0.04663682671942482,0.5060970699549721,0.11979865834643606,0.41317798841495523
ZHX1,-0.14702777057474137,0.0607655958738881,-0.2911903055231555,1.386124824054627e-06,0.007142857142857143,0.11979865834643606,True,0.14702777057474137,0.2911903055231555,0.11979865834643606,0.4130463401790416
KDM2A,0.13944049241858103,0.0005926924112426429,-0.028478288161906562,0.5192126648949322,0.014285714285714285,0.3827710261184941,False,0.13944049241858103,0.028478288161906562,0.3827710261184941,0.4130463401790416
